name,phi,theta,dcosx,dcosy,dcosz
LOGME,1.43633,2.78594,0.0466812,0.345063,-0.937418
LOGME,6.16484,0.808478,0.718178,-0.0853948,0.6906
LOGME,2.148,0.193418,-0.104889,0.161074,0.981353
LOGME,2.44488,2.93925,-0.154133,0.12896,-0.979598
LOGME,0.362412,1.42936,0.925707,0.35099,0.140967
LOGME,4.72533,0.882946,0.0099973,-0.772548,0.634878
LOGME,3.50313,0.259525,-0.240032,-0.0907713,0.966512
LOGME,1.84425,2.18768,-0.220285,0.785376,-0.578497
LOGME,4.73102,2.37625,0.0129034,-0.692664,-0.721145
LOGME,0.973034,2.06299,0.49599,0.728478,-0.472561
LOGME,0.0759306,1.8831,0.948887,0.0721883,-0.307248
LOGME,4.62157,2.91033,-0.0207884,-0.228259,-0.973378
LOGME,3.5704,2.28991,-0.684269,-0.312831,-0.658721
LOGME,4.21084,0.569944,-0.259424,-0.473129,0.841931
LOGME,2.50419,0.915009,-0.636944,0.471663,0.609784
LOGME,4.65573,1.68351,-0.0562677,-0.99206,-0.112472
LOGME,1.52599,1.48933,0.0446458,0.995683,0.0813734
LOGME,3.27612,0.476962,-0.454935,-0.061575,0.888394
LOGME,3.84851,1.76021,-0.746767,-0.637878,-0.188285
LOGME,4.71132,1.36927,-0.00105162,-0.979762,0.200165
LOGME,0.23738,2.33928,0.698803,0.16907,-0.695047
LOGME,0.955384,3.01812,0.0711015,0.100567,-0.992386
LOGME,2.58467,1.11489,-0.762179,0.47459,0.440281
LOGME,3.66396,0.653642,-0.526989,-0.303391,0.793874
LOGME,0.819095,3.02623,0.0786055,0.0840899,-0.993353
LOGME,5.69037,2.63931,0.399285,-0.268975,-0.876484
LOGME,3.97565,2.84211,-0.198223,-0.218518,-0.955488
LOGME,4.10202,1.31203,-0.554089,-0.792155,0.255884
LOGME,0.530431,0.718309,0.567681,0.332942,0.75292
LOGME,3.91443,1.46733,-0.712106,-0.694433,0.103286
LOGME,6.10604,0.0899109,0.0883847,-0.0158225,0.995961
LOGME,0.625859,1.20455,0.75671,0.546943,0.358111
LOGME,2.78894,3.02481,-0.109351,0.040245,-0.993188
LOGME,3.88695,0.73556,-0.493082,-0.455098,0.741455
LOGME,6.00534,1.71514,0.951649,-0.271428,-0.143842
LOGME,0.966303,0.538054,0.291258,0.421652,0.858708
LOGME,3.90036,1.7766,-0.710368,-0.67351,-0.204358
LOGME,5.03769,0.482602,0.148317,-0.439747,0.88579
LOGME,0.183357,2.68202,0.436133,0.0808764,-0.896241
LOGME,1.83148,1.63579,-0.257201,0.964173,-0.0649522
LOGME,0.0491155,2.44258,0.642683,0.0315911,-0.765481
LOGME,3.63092,0.808376,-0.638302,-0.339913,0.690674
LOGME,1.4426,2.8782,0.0332853,0.258222,-0.965512
LOGME,3.50867,1.57206,-0.933379,-0.358889,-0.00126134
LOGME,3.97753,2.36716,-0.468874,-0.518838,-0.714818
LOGME,2.37905,2.79718,-0.244143,0.23323,-0.941275
LOGME,2.29662,1.00412,-0.559999,0.631039,0.536834
LOGME,1.86232,0.672087,-0.178949,0.59635,0.782524
LOGME,2.02038,1.92971,-0.406898,0.843238,-0.351259
LOGME,2.87743,1.72691,-0.953572,0.257926,-0.155481
LOGME,5.63084,1.69136,0.788893,-0.602647,-0.120268
LOGME,2.25981,0.123505,-0.0783225,0.0950876,0.992383
LOGME,3.15513,2.52181,-0.580809,-0.00786024,-0.814002
LOGME,2.15445,1.66036,-0.548872,0.831108,-0.0894397
LOGME,5.8189,1.93019,0.837014,-0.419176,-0.351709
LOGME,5.07688,0.874027,0.273386,-0.716537,0.641744
LOGME,4.67801,2.89627,-0.00834701,-0.242725,-0.970059
LOGME,2.28848,1.46414,-0.653901,0.749053,0.106455
LOGME,3.63638,0.870499,-0.672946,-0.363091,0.644445
LOGME,5.59727,1.3669,0.75781,-0.620259,0.202489
LOGME,2.68733,2.24735,-0.700657,0.342149,-0.626111
LOGME,3.20961,2.92239,-0.216946,-0.014778,-0.976072
LOGME,2.10166,1.20484,-0.472754,0.805267,0.357838
LOGME,1.11731,0.479516,0.20212,0.414718,0.887218
LOGME,4.4971,0.538258,-0.109513,-0.500807,0.858603
LOGME,2.04513,0.0385654,-0.0176103,0.0342992,0.999256
LOGME,1.8654,2.18782,-0.23682,0.780466,-0.578609
LOGME,2.16075,2.45184,-0.35401,0.528782,-0.771405
LOGME,0.859834,0.318914,0.204601,0.237576,0.949577
LOGME,2.19316,1.55818,-0.582911,0.812438,0.0126136
LOGME,1.82118,2.03226,-0.221855,0.867482,-0.445259
LOGME,4.40802,1.20356,-0.279707,-0.890426,0.359035
LOGME,1.30488,2.48828,0.159733,0.586457,-0.794074
LOGME,3.97882,1.48996,-0.667338,-0.740365,0.0807516
LOGME,0.904291,2.02337,0.556002,0.706858,-0.43728
LOGME,1.32256,2.33257,0.177786,0.701435,-0.690203
LOGME,5.33604,1.09496,0.519124,-0.721578,0.458078
LOGME,0.00389375,2.02615,0.898098,0.00349699,-0.439781
LOGME,3.16362,2.19238,-0.812762,-0.0179083,-0.582321
LOGME,5.26422,0.966264,0.431336,-0.70064,0.568377
LOGME,3.94135,1.99167,-0.636066,-0.654599,-0.408559
LOGME,2.04102,2.43743,-0.293324,0.577131,-0.762155
LOGME,1.28507,1.80114,0.274413,0.934114,-0.228316
LOGME,5.27182,0.864741,0.403825,-0.644931,0.648837
LOGME,3.15116,2.10092,-0.862703,-0.00825774,-0.505644
LOGME,1.50672,2.13622,0.0540657,0.842626,-0.535778
LOGME,2.41244,2.2986,-0.556797,0.497439,-0.665231
LOGME,5.48716,2.65224,0.32883,-0.335895,-0.882636
LOGME,1.10369,2.4568,0.284823,0.564752,-0.774552
LOGME,5.05861,0.664468,0.209255,-0.58005,0.787245
LOGME,4.30949,2.00979,-0.354907,-0.832703,-0.425026
LOGME,3.25093,2.58232,-0.527401,-0.0578941,-0.847642
LOGME,1.00927,0.111112,0.0590434,0.0938566,0.993833
LOGME,2.38183,0.540648,-0.373151,0.354494,0.857375
LOGME,4.01568,2.02775,-0.575857,-0.688272,-0.441216
LOGME,2.91951,2.18295,-0.798313,0.180268,-0.57463
LOGME,1.40147,1.52458,0.16834,0.984646,0.0462013
LOGME,5.59856,1.52449,0.773826,-0.631705,0.0462897
LOGME,4.8058,2.14067,0.0785343,-0.838299,-0.539525
LOGME,0.0963771,1.6633,0.991104,0.0958166,-0.0923742
LOGME,5.44864,1.46902,0.668041,-0.737156,0.101598
LOGME,5.07125,0.697921,0.225697,-0.601689,0.76618
LOGME,2.86246,0.840697,-0.716268,0.205296,0.666943
LOGME,3.02572,1.7423,-0.978722,0.113921,-0.170661
LOGME,3.52953,1.45973,-0.919986,-0.375953,0.110841
LOGME,1.13247,1.49857,0.42332,0.903101,0.0721682
LOGME,1.72562,2.49312,-0.0931354,0.596748,-0.797006
LOGME,3.62055,1.06007,-0.774226,-0.402046,0.488808
LOGME,4.07885,0.583216,-0.32602,-0.44384,0.834696
LOGME,3.57847,2.18122,-0.742445,-0.346702,-0.573213
LOGME,1.16522,3.07266,0.0271738,0.0632859,-0.997625
LOGME,5.07067,2.53212,0.200732,-0.536086,-0.81995
LOGME,0.051403,2.62614,0.492275,0.0253267,-0.870071
LOGME,5.25177,0.188469,0.0962266,-0.160756,0.982292
LOGME,3.83639,2.30785,-0.568804,-0.474057,-0.672109
LOGME,6.02178,2.68475,0.426132,-0.114001,-0.89745
LOGME,0.838502,1.54077,0.668276,0.743307,0.0300223
LOGME,3.7037,0.832946,-0.626069,-0.394352,0.672699
LOGME,0.136734,1.18921,0.919413,0.126504,0.372393
LOGME,2.64839,2.72695,-0.354846,0.190735,-0.915262
LOGME,3.48182,1.48127,-0.938903,-0.332366,0.0894077
LOGME,1.03363,0.234446,0.118871,0.199587,0.972643
LOGME,4.27371,1.46601,-0.422411,-0.90035,0.104591
LOGME,1.30846,0.231193,0.0594245,0.221299,0.973394
LOGME,1.33057,0.173405,0.0410505,0.167582,0.985003
LOGME,1.51579,2.47035,0.0341948,0.62102,-0.783048
LOGME,5.11081,0.337479,0.12846,-0.305175,0.943592
LOGME,2.25384,0.326239,-0.202274,0.248584,0.947254
LOGME,4.66481,1.16392,-0.0436819,-0.917321,0.395744
LOGME,5.36232,2.79109,0.207782,-0.273364,-0.939201
LOGME,4.29508,2.48862,-0.246242,-0.555414,-0.79428
LOGME,0.943161,2.48167,0.360005,0.496217,-0.790042
LOGME,2.14813,0.515775,-0.269191,0.413269,0.869911
LOGME,1.70721,2.88445,-0.0345838,0.251954,-0.967121
LOGME,4.04204,0.13107,-0.0811955,-0.102413,0.991423
LOGME,1.3857,0.548499,0.0959604,0.512501,0.853308
LOGME,5.80784,3.09636,0.0402045,-0.0206936,-0.998977
LOGME,3.57715,0.813542,-0.658874,-0.306616,0.686929
LOGME,2.81104,0.703265,-0.6117,0.209903,0.762735
LOGME,4.62207,1.85426,-0.0865937,-0.95618,-0.27968
LOGME,1.3201,0.436508,0.10488,0.409562,0.906234
LOGME,0.595686,1.83954,0.798051,0.540937,-0.265523
LOGME,5.45421,2.50211,0.403204,-0.43997,-0.802405
LOGME,0.818771,1.81831,0.662301,0.70805,-0.244995
LOGME,5.34063,0.646497,0.354039,-0.487375,0.798199
LOGME,4.91615,1.09865,0.180219,-0.872169,0.454799
LOGME,4.58791,0.938933,-0.100186,-0.800685,0.590649
LOGME,3.16285,2.09549,-0.865282,-0.0184,-0.500947
LOGME,5.0262,0.0604278,0.0186421,-0.0574417,0.998175
LOGME,3.67592,1.5848,-0.860525,-0.509215,-0.0140012
LOGME,4.38099,2.94603,-0.0632239,-0.183742,-0.980939
LOGME,6.17034,0.760312,0.684764,-0.0776019,0.724621
LOGME,2.9636,0.854826,-0.742537,0.133583,0.65635
LOGME,5.17667,2.498,0.2687,-0.536552,-0.799945
LOGME,3.32992,1.18644,-0.910649,-0.173552,0.374964
LOGME,2.99229,1.27904,-0.947085,0.142459,0.287639
LOGME,1.80178,2.12614,-0.194527,0.827151,-0.527239
LOGME,2.22291,2.08877,-0.527259,0.690542,-0.495125
LOGME,2.16129,0.99403,-0.466706,0.696287,0.545317
LOGME,3.99605,3.02754,-0.0747254,-0.0858314,-0.993503
LOGME,6.01885,2.39132,0.658152,-0.178144,-0.731505
LOGME,5.15792,2.30458,0.320035,-0.670153,-0.669681
LOGME,5.45484,2.0418,0.602478,-0.656584,-0.453782
LOGME,0.24317,0.472988,0.442146,0.109687,0.890211
LOGME,1.31451,0.59463,0.142004,0.541906,0.828356
LOGME,4.34309,2.81827,-0.114686,-0.296302,-0.948184
LOGME,5.77056,1.87534,0.831359,-0.467895,-0.299861
LOGME,4.61318,1.24916,-0.0939676,-0.944054,0.316121
LOGME,2.20084,1.75263,-0.579471,0.794679,-0.18083
LOGME,5.73802,0.162554,0.138379,-0.0839237,0.986817
LOGME,4.28602,1.86496,-0.395802,-0.871363,-0.289943
LOGME,3.79274,0.263537,-0.207197,-0.157887,0.965475
LOGME,4.31505,0.473603,-0.176494,-0.420563,0.889931
LOGME,4.59212,2.44374,-0.0770969,-0.637935,-0.766221
LOGME,6.06578,2.79933,0.327718,-0.0723924,-0.941998
LOGME,4.78328,0.000682165,4.83207e-05,-0.000680451,1
LOGME,4.81697,0.28849,0.0296989,-0.282951,0.958674
LOGME,2.79608,2.469,-0.5862,0.211002,-0.782207
LOGME,2.33767,0.799138,-0.497347,0.516124,0.697325
LOGME,3.10842,1.02607,-0.854799,0.0283635,0.518184
LOGME,1.37133,1.65813,0.197391,0.976437,-0.0872209
LOGME,4.25512,1.85335,-0.423989,-0.861684,-0.278808
LOGME,3.78491,2.25595,-0.619542,-0.464475,-0.632796
LOGME,4.00847,1.71948,-0.640072,-0.753899,-0.148136
LOGME,1.92349,1.26219,-0.329106,0.894111,0.303734
LOGME,4.58633,0.417046,-0.050925,-0.401847,0.91429
LOGME,4.50379,2.71733,-0.0852498,-0.402727,-0.911341
LOGME,5.09458,1.9701,0.343613,-0.854859,-0.388774
LOGME,0.924547,0.792272,0.428734,0.568384,0.70223
LOGME,5.88048,0.389728,0.349543,-0.148902,0.925013
LOGME,0.0584946,2.9171,0.222228,0.013014,-0.974908
LOGME,1.88739,1.00953,-0.263571,0.804507,0.532258
LOGME,1.55045,1.2141,0.0190684,0.936861,0.349181
LOGME,4.42913,0.484727,-0.13023,-0.447398,0.884802
LOGME,4.11597,0.288684,-0.159906,-0.23554,0.958619
LOGME,2.56513,0.803578,-0.603516,0.392357,0.694136
LOGME,2.0071,0.437618,-0.179086,0.384084,0.905764
LOGME,2.65129,2.37361,-0.612844,0.327123,-0.719314
LOGME,3.57001,3.11048,-0.0283,-0.012925,-0.999516
LOGME,1.62144,3.03061,-0.00560645,0.110613,-0.993848
LOGME,0.699329,1.9591,0.708303,0.595783,-0.378616
LOGME,0.860033,2.96468,0.11482,0.133379,-0.984391
LOGME,2.02408,1.66599,-0.43594,0.894943,-0.0950472
LOGME,3.20857,0.57767,-0.544849,-0.0365498,0.837737
LOGME,4.49913,2.13926,-0.178362,-0.823635,-0.538342
LOGME,6.19184,2.71639,0.410789,-0.037628,-0.910954
LOGME,6.18008,1.06597,0.87061,-0.0900845,0.483655
LOGME,2.63136,0.0688374,-0.0600221,0.0335924,0.997632
LOGME,5.27076,2.35733,0.374202,-0.599027,-0.707912
LOGME,3.28397,2.49518,-0.596234,-0.0854702,-0.798248
LOGME,3.56942,1.7954,-0.887014,-0.404477,-0.222721
LOGME,0.524683,2.21454,0.692263,0.400679,-0.600191
LOGME,2.65498,3.14124,-0.000314317,0.00016629,-1
LOGME,0.695426,1.27467,0.734363,0.612826,0.291813
LOGME,4.37019,1.42426,-0.331968,-0.931922,0.146011
LOGME,3.41268,2.41589,-0.639427,-0.177714,-0.748031
LOGME,4.35435,0.0297475,-0.0104231,-0.027857,0.999558
LOGME,1.53568,1.45247,0.0348637,0.992396,0.118047
LOGME,1.83924,0.742788,-0.17939,0.65212,0.736585
LOGME,2.57097,0.918158,-0.668611,0.429144,0.607285
LOGME,6.09065,2.26832,0.752274,-0.146655,-0.642321
LOGME,2.68988,1.87761,-0.857685,0.416124,-0.302021
LOGME,0.909676,1.44882,0.60944,0.78344,0.121673
LOGME,4.20719,1.61582,-0.48349,-0.874192,-0.0450088
LOGME,3.01007,1.934,-0.926689,0.12259,-0.355273
LOGME,5.70446,1.70941,0.829133,-0.541708,-0.138169
LOGME,3.24679,0.906922,-0.783257,-0.0826999,0.616173
LOGME,3.86249,2.85222,-0.214356,-0.188346,-0.958424
LOGME,1.28861,3.12628,0.00426421,0.0147079,-0.999883
LOGME,5.41507,0.885643,0.50042,-0.590893,0.632792
LOGME,1.22719,1.94018,0.314158,0.878039,-0.361044
LOGME,1.76137,3.02603,-0.0218415,0.113218,-0.99333
LOGME,4.70187,0.6098,-0.00602146,-0.572672,0.819763
LOGME,5.09918,2.59108,0.197333,-0.484481,-0.852255
LOGME,5.93143,2.3926,0.639211,-0.234603,-0.732374
LOGME,4.904,1.88744,0.18097,-0.932896,-0.311376
LOGME,4.38906,1.69403,-0.315314,-0.940993,-0.122919
LOGME,5.2089,2.69779,0.20454,-0.377533,-0.903124
LOGME,0.459468,0.599301,0.505565,0.250147,0.82573
LOGME,3.72645,2.98092,-0.133392,-0.0883242,-0.98712
LOGME,5.78142,0.711872,0.57273,-0.314195,0.75714
LOGME,4.47819,3.03903,-0.0237588,-0.0995869,-0.994745
LOGME,3.78116,1.64185,-0.80033,-0.595342,-0.0709913
LOGME,2.9179,2.09769,-0.842837,0.191743,-0.502853
LOGME,6.24693,2.43164,0.651373,-0.023629,-0.75839
LOGME,0.64323,1.31299,0.773718,0.579961,0.254963
LOGME,2.20854,1.73068,-0.587789,0.793195,-0.159201
LOGME,0.383139,1.16246,0.851241,0.343098,0.397079
LOGME,0.702593,1.89108,0.72436,0.613338,-0.314833
LOGME,5.80896,2.05482,0.787452,-0.404195,-0.465345
LOGME,1.94297,1.45091,-0.361035,0.924852,0.119596
LOGME,2.0382,2.65019,-0.21261,0.421253,-0.881671
LOGME,0.478053,3.11523,0.0234053,0.0121272,-0.999653
LOGME,2.55645,1.10236,-0.743833,0.492818,0.45149
LOGME,3.22323,2.01528,-0.899826,-0.0736274,-0.42999
LOGME,2.33408,2.71188,-0.288,0.301031,-0.909086
LOGME,4.23525,0.532337,-0.233084,-0.450862,0.861623
LOGME,1.53135,0.430697,0.0164652,0.417179,0.908675
LOGME,0.362428,0.398648,0.362956,0.137625,0.921587
LOGME,1.39376,2.50698,0.104412,0.583595,-0.805304
LOGME,2.69322,2.45215,-0.573234,0.275753,-0.771598
LOGME,1.32174,2.97171,0.0416737,0.163855,-0.985604
LOGME,3.04096,2.15863,-0.827935,0.0836006,-0.554559
LOGME,2.23328,0.504564,-0.297343,0.381166,0.875385
LOGME,2.85703,1.82789,-0.928238,0.271514,-0.254274
LOGME,2.19484,2.09293,-0.506469,0.703392,-0.498728
LOGME,0.593654,2.36722,0.579624,0.391165,-0.714861
LOGME,3.30525,2.03984,-0.880084,-0.14533,-0.45203
LOGME,6.00865,2.29145,0.723234,-0.203697,-0.659879
LOGME,2.38551,1.41941,-0.71921,0.678229,0.150806
LOGME,2.6996,1.45372,-0.897713,0.424815,0.116805
LOGME,0.281857,1.14207,0.873608,0.252967,0.415712
LOGME,5.13021,1.10255,0.362092,-0.815594,0.451326
LOGME,2.65502,0.777504,-0.620087,0.328022,0.712667
LOGME,1.8125,1.48543,-0.238481,0.967397,0.0852578
LOGME,4.96492,0.73104,0.166816,-0.646468,0.744481
LOGME,4.22517,2.64168,-0.224418,-0.423573,-0.877623
LOGME,3.28096,2.93389,-0.204215,-0.0286459,-0.978507
LOGME,4.86804,0.387005,0.0585073,-0.372854,0.926044
LOGME,3.86602,0.688842,-0.476021,-0.421245,0.771982
LOGME,5.03417,0.835254,0.234494,-0.70341,0.67099
LOGME,0.959868,1.32805,0.556811,0.795101,0.240365
LOGME,2.10705,1.51647,-0.510162,0.858363,0.0542953
LOGME,4.92019,1.55461,0.206284,-0.978358,0.0161816
LOGME,5.86337,2.63493,0.443124,-0.197787,-0.874369
LOGME,5.12146,2.2017,0.321183,-0.74087,-0.589876
LOGME,4.07674,0.133835,-0.0792209,-0.107373,0.991058
LOGME,2.75333,2.98367,-0.145562,0.0595383,-0.987556
LOGME,6.17828,0.229932,0.226659,-0.023865,0.973682
LOGME,3.73075,0.873907,-0.637561,-0.426103,0.641835
LOGME,5.57008,2.6895,0.330401,-0.285777,-0.899537
LOGME,1.40924,2.57505,0.0863354,0.529729,-0.843761
LOGME,2.75052,0.250266,-0.228964,0.0944039,0.968846
LOGME,2.09753,2.37105,-0.350151,0.602113,-0.717534
LOGME,2.55261,1.87298,-0.793828,0.530346,-0.297608
LOGME,1.2051,2.32484,0.260667,0.680726,-0.684591
LOGME,3.15641,3.11947,-0.0221179,-0.000327786,-0.999755
LOGME,0.479396,0.730907,0.592295,0.307901,0.744569
LOGME,1.85248,1.10827,-0.248765,0.85966,0.446206
LOGME,4.8967,0.918924,0.145693,-0.781485,0.606676
LOGME,0.607556,0.300459,0.242995,0.168952,0.955201
LOGME,5.07009,2.11082,0.300301,-0.803408,-0.514154
LOGME,4.62626,1.41566,-0.0849929,-0.984328,0.154514
LOGME,4.17044,1.15978,-0.472851,-0.785355,0.399537
LOGME,1.33314,0.114445,0.0268843,0.110986,0.993458
LOGME,3.24455,2.40749,-0.666376,-0.0688517,-0.74243
LOGME,1.44502,2.79147,0.0430286,0.340304,-0.939331
LOGME,1.10873,2.0256,0.400483,0.804141,-0.439284
LOGME,3.56908,2.27254,-0.694994,-0.316628,-0.645547
LOGME,1.96854,1.23127,-0.365231,0.869306,0.333037
LOGME,2.98965,2.03509,-0.883839,0.135335,-0.447788
LOGME,3.88413,1.7918,-0.718835,-0.659716,-0.219206
LOGME,0.306234,1.98608,0.872434,0.275846,-0.403446
LOGME,3.71104,1.65035,-0.839535,-0.537461,-0.0794738
LOGME,4.98232,3.05698,0.0225351,-0.0814477,-0.996423
LOGME,5.98247,0.00734633,0.0070166,-0.00217597,0.999973
LOGME,3.49364,2.31357,-0.691419,-0.25399,-0.676335
LOGME,0.578283,1.73138,0.826628,0.539554,-0.159898
LOGME,0.202306,2.17402,0.806717,0.165468,-0.567299
LOGME,4.05179,0.435157,-0.258661,-0.332868,0.906804
LOGME,0.473947,1.75719,0.874361,0.448496,-0.18532
LOGME,5.77676,3.10522,0.0318007,-0.0176389,-0.999339
LOGME,6.05322,3.00954,0.128207,-0.0300136,-0.991293
LOGME,3.48583,1.0078,-0.796048,-0.285391,0.533722
LOGME,0.708508,0.243454,0.183042,0.156856,0.970511
LOGME,3.33429,2.41406,-0.652718,-0.127356,-0.74682
LOGME,1.28621,1.31221,0.271423,0.927868,0.255714
LOGME,3.15192,2.94974,-0.190666,-0.00196865,-0.981653
LOGME,1.13937,2.15092,0.349756,0.759756,-0.548126
LOGME,4.97354,0.985575,0.21523,-0.805325,0.552384
LOGME,1.97286,1.57418,-0.391314,0.920251,-0.00338853
LOGME,5.99542,0.691554,0.611512,-0.180993,0.770256
LOGME,2.49152,1.21272,-0.745549,0.566855,0.350473
LOGME,3.00574,0.39505,-0.381308,0.0521223,0.922977
LOGME,3.04077,1.28145,-0.953565,0.096464,0.285321
LOGME,4.41026,2.2774,-0.226313,-0.726118,-0.649257
LOGME,0.502194,1.95849,0.811474,0.445625,-0.378058
LOGME,6.25242,2.66384,0.45957,-0.0141438,-0.888029
LOGME,4.41954,1.0008,-0.24304,-0.806058,0.539631
LOGME,3.47899,3.03313,-0.102149,-0.0358354,-0.994123
LOGME,5.33921,0.716513,0.385238,-0.531906,0.7541
LOGME,2.94107,1.8872,-0.931318,0.189294,-0.311151
LOGME,3.14699,0.892038,-0.778342,-0.00419785,0.627827
LOGME,2.62428,1.87159,-0.830129,0.47234,-0.29628
LOGME,3.72273,1.91003,-0.788207,-0.517687,-0.332762
LOGME,5.14749,0.236644,0.0988182,-0.212598,0.97213
LOGME,2.23531,1.67398,-0.613393,0.783033,-0.102999
LOGME,0.842598,1.16974,0.612716,0.687149,0.390391
LOGME,0.30064,2.95954,0.172923,0.0536128,-0.983475
LOGME,4.23939,1.97852,-0.418215,-0.817233,-0.396517
LOGME,2.48513,2.21522,-0.63329,0.487916,-0.600735
LOGME,5.86095,0.341476,0.305468,-0.137232,0.942262
LOGME,4.69972,2.71908,-0.00519502,-0.410017,-0.912063
LOGME,1.12136,1.23252,0.40984,0.849647,0.331861
LOGME,3.43166,0.722917,-0.633938,-0.189218,0.749879
LOGME,1.19504,0.887655,0.284627,0.721479,0.631233
LOGME,6.24912,1.18628,0.926443,-0.0315748,0.375109
LOGME,2.4161,1.67969,-0.743739,0.659575,-0.108683
LOGME,0.668282,2.05643,0.694137,0.547994,-0.466772
LOGME,5.9789,0.150127,0.142693,-0.0448116,0.988752
LOGME,1.09415,2.95615,0.0845938,0.163831,-0.982855
LOGME,5.7567,2.85958,0.240604,-0.139839,-0.960497
LOGME,4.95002,0.867208,0.1795,-0.741097,0.646958
LOGME,5.30056,2.47772,0.341875,-0.512629,-0.787612
LOGME,5.67619,2.17759,0.674735,-0.468574,-0.570238
LOGME,0.319021,2.95879,0.172615,0.0570152,-0.983338
LOGME,2.71794,2.14202,-0.766872,0.345826,-0.540658
LOGME,3.76908,1.86335,-0.775112,-0.562163,-0.288399
LOGME,4.7471,0.529167,0.0175211,-0.504511,0.863228
LOGME,4.95169,0.918485,0.188361,-0.772037,0.607025
LOGME,6.27512,2.42701,0.655284,-0.00528597,-0.755364
LOGME,4.9037,1.23466,0.179502,-0.926812,0.329845
LOGME,1.45576,1.17948,0.106104,0.918299,0.381405
LOGME,0.374958,1.33271,0.904274,0.355902,0.235842
LOGME,5.55434,2.82542,0.231938,-0.207083,-0.950432
